Crime Type,Date of Initial Criminal Activity,Date Charges Filed,Dollars Involved
Insider Trading,2/25/13 16:16,10/11/13 18:00,4453181
Insider Trading,3/23/12 7:02,7/1/13 16:19,5781811
Ponzi Scheme,11/13/09 15:16,4/3/11 10:24,2359705
Insider Trading,10/21/10 15:09,12/21/13 6:28,6340538
Insider Trading,3/8/07 8:01,10/1/09 16:40,8183156
Insider Trading,7/5/08 13:03,8/27/13 7:11,3025931
Securities Fraud,9/9/10 21:50,3/25/11 14:55,2080714
Insider Trading,7/10/13 22:19,7/19/13 0:39,8266202
Securities Fraud,11/16/12 22:42,12/26/14 13:14,3713321
Embezzlement,5/20/12 3:20,2/7/16 17:05,4761899
Ponzi Scheme,7/18/07 5:01,2/9/12 4:36,9376886
Embezzlement,10/10/09 18:28,8/18/14 19:37,7627417
Securities Fraud,7/2/13 11:04,8/12/18 22:27,8672625
Embezzlement,10/30/09 23:21,7/9/11 19:06,2782517
Ponzi Scheme,2/9/12 5:12,11/5/12 4:34,1255965
Ponzi Scheme,9/8/09 15:36,9/22/12 5:11,4832642
Embezzlement,10/9/11 23:23,6/24/15 4:37,4239754
Embezzlement,8/28/09 0:01,5/28/14 16:35,3097746
Insider Trading,3/12/07 8:45,7/22/08 10:18,1893999
Embezzlement,11/4/06 11:24,12/13/09 20:42,8744802
Ponzi Scheme,2/25/09 6:59,11/16/10 7:18,7499195
Insider Trading,1/21/09 4:55,3/10/09 4:50,8416697
Embezzlement,5/17/12 14:27,11/27/14 2:12,1245709
Securities Fraud,6/9/09 5:11,10/18/13 10:53,5648230
Securities Fraud,2/26/09 7:22,8/19/10 16:22,1337749
Securities Fraud,3/24/13 13:14,11/28/13 2:33,4716285
Ponzi Scheme,1/31/14 15:55,8/14/14 18:07,703127
Insider Trading,12/13/07 6:21,3/6/12 6:47,746898
Securities Fraud,3/1/08 11:58,3/17/08 18:54,6807907
Securities Fraud,6/19/08 15:13,12/4/11 22:35,9242982
Ponzi Scheme,2/16/08 17:40,12/8/08 13:25,4201881
Ponzi Scheme,3/5/09 8:01,10/11/12 22:50,4816381
Embezzlement,1/29/09 15:55,6/2/12 16:13,6535582
Securities Fraud,10/25/12 8:30,5/27/17 23:35,1259827
Ponzi Scheme,7/25/12 22:49,8/14/15 9:15,4359786
Embezzlement,2/13/07 6:19,1/16/10 10:15,1841205
Securities Fraud,12/25/14 7:01,5/14/15 19:56,6613590
Insider Trading,1/31/14 18:53,4/1/19 12:14,7550453
Insider Trading,2/10/12 1:59,4/30/16 20:25,6251996
Securities Fraud,3/6/14 0:59,5/21/18 19:09,9785564
Securities Fraud,8/2/10 7:19,8/30/11 9:03,2634341
Securities Fraud,7/2/11 12:33,10/4/13 16:17,1908233
Ponzi Scheme,11/30/13 23:12,7/30/18 4:05,7465255
Securities Fraud,11/27/14 3:40,3/31/15 17:22,8242243
Insider Trading,11/4/07 3:44,4/8/13 19:13,7481276
Ponzi Scheme,3/6/07 8:39,4/15/10 14:39,9714132
Embezzlement,7/11/10 16:20,7/19/15 13:55,5141536
Ponzi Scheme,9/10/10 4:20,7/31/15 9:37,2564641
Insider Trading,3/31/09 7:37,9/12/11 23:38,8534712
Embezzlement,1/1/10 1:00,2/7/15 16:39,1698672
Securities Fraud,9/17/11 12:08,4/8/12 20:47,7611994
Ponzi Scheme,3/14/11 5:41,1/31/15 22:02,2631110
Securities Fraud,5/17/08 17:46,4/6/11 4:46,8243618
Securities Fraud,3/20/10 4:59,5/16/10 7:08,4166178
Embezzlement,12/17/13 1:26,5/17/15 0:25,329650
Insider Trading,5/13/09 7:34,6/28/09 8:42,4780399
Insider Trading,12/9/13 13:35,9/12/16 20:30,7092973
Ponzi Scheme,11/29/11 14:20,4/7/12 6:26,5321660
Embezzlement,5/9/10 1:04,2/8/11 0:53,3081505
Embezzlement,12/27/07 7:26,5/19/11 12:31,6900260
Ponzi Scheme,2/16/11 15:58,1/5/13 3:35,331674
Embezzlement,3/13/07 4:11,12/24/08 7:54,777674
Ponzi Scheme,11/29/06 5:28,11/15/09 12:03,874901
Ponzi Scheme,3/21/11 9:02,6/19/16 16:07,1144416
Insider Trading,11/26/09 4:56,6/28/11 0:23,4765303
Securities Fraud,1/18/13 11:52,8/1/15 14:00,3085553
Embezzlement,2/4/10 13:07,3/4/11 13:21,365506
Securities Fraud,1/5/11 11:19,9/3/11 9:44,3471994
Insider Trading,9/6/08 7:31,4/20/12 22:15,7311367
Embezzlement,5/22/10 22:29,11/5/10 12:08,3612844
Insider Trading,8/25/13 13:10,9/19/18 9:52,6293463
Ponzi Scheme,9/14/07 5:44,8/11/09 15:21,3214954
Insider Trading,2/7/11 13:29,9/26/13 22:03,856521
Securities Fraud,3/10/07 18:54,7/24/10 19:45,1960712
Insider Trading,12/20/14 7:48,5/25/18 3:03,2456423
Insider Trading,1/19/08 19:09,6/15/11 13:50,4775122
Securities Fraud,4/9/14 15:31,2/21/15 7:49,3712850
Insider Trading,8/21/08 5:53,6/13/11 0:12,3235715
Ponzi Scheme,6/27/10 21:18,9/17/15 13:38,52428
Ponzi Scheme,11/8/07 6:39,1/9/12 15:35,5652891
Insider Trading,12/2/07 22:47,5/31/11 5:45,2676451
Embezzlement,6/21/11 16:41,5/9/14 23:33,5567644
Securities Fraud,11/19/08 11:55,4/16/10 13:03,5112567
Ponzi Scheme,7/14/10 20:04,1/19/14 9:49,141896
Ponzi Scheme,7/21/08 1:05,4/1/12 0:37,9609456
Embezzlement,3/16/09 20:30,12/18/09 18:23,8833058
Insider Trading,7/3/07 13:18,10/17/12 22:58,4418802
Ponzi Scheme,7/7/09 23:51,5/15/14 6:33,6263112
Ponzi Scheme,11/26/09 2:51,3/8/14 5:51,5525693
Ponzi Scheme,4/4/10 0:04,3/5/14 11:27,423365
Insider Trading,4/8/11 14:21,12/21/12 21:48,3131636
Ponzi Scheme,10/13/09 22:23,10/18/11 16:12,5971923
Insider Trading,12/12/14 2:02,9/12/17 12:11,9948908
Insider Trading,10/4/08 22:45,11/15/12 17:21,7641435
Ponzi Scheme,8/14/12 2:32,5/23/13 5:57,3261420
Insider Trading,11/6/07 18:53,3/1/09 12:21,3489231
Ponzi Scheme,6/3/14 0:07,8/10/15 0:31,1792370
Securities Fraud,7/12/12 12:39,12/14/13 16:59,4713848
Insider Trading,3/20/08 6:55,12/18/11 14:46,8285680
Ponzi Scheme,1/24/14 10:56,11/7/15 18:28,722154
Ponzi Scheme,2/20/12 10:01,11/17/15 9:09,1628983
Embezzlement,12/31/09 20:40,2/15/10 2:47,1569002
Insider Trading,12/3/07 15:09,4/20/11 19:11,4926188
Ponzi Scheme,2/24/14 21:18,5/31/19 12:58,6293195
Insider Trading,7/13/12 5:51,3/14/15 18:17,5619477
Embezzlement,12/14/06 7:32,7/6/09 3:46,2376369
Ponzi Scheme,2/18/13 1:59,8/20/16 6:07,8597969
Embezzlement,7/2/09 14:06,12/5/09 14:06,2892454
Ponzi Scheme,11/24/07 6:22,1/13/10 7:36,7229664
Ponzi Scheme,5/24/10 5:15,12/26/14 4:59,8086429
Securities Fraud,8/7/12 22:34,11/5/13 7:10,7334405
Insider Trading,1/13/12 13:51,5/2/13 23:35,2457017
Embezzlement,8/20/14 8:28,4/1/16 11:54,2192662
Ponzi Scheme,6/18/13 1:20,7/10/16 11:43,4471175
Securities Fraud,2/27/13 5:36,10/30/14 12:29,3617914
Insider Trading,2/1/09 0:03,12/4/10 20:29,4173733
Ponzi Scheme,6/20/11 21:07,11/28/13 16:47,4212818
Insider Trading,12/5/11 20:54,6/26/12 13:38,3860662
Ponzi Scheme,2/16/11 18:36,4/20/15 22:05,4574091
Ponzi Scheme,3/6/09 17:22,7/17/14 19:07,5392379
Securities Fraud,8/12/09 6:54,7/14/10 16:14,2858217
Embezzlement,7/20/10 13:46,6/27/14 21:06,754709
Ponzi Scheme,4/25/07 19:16,3/26/09 2:45,4685202
Securities Fraud,5/3/10 2:21,7/31/12 0:40,8430765
Embezzlement,12/15/06 8:01,6/24/07 3:21,3706467
Embezzlement,7/10/08 13:08,11/30/13 10:59,1221187
Insider Trading,7/4/09 2:55,4/1/10 11:25,7153378
Ponzi Scheme,6/21/09 2:12,6/28/10 5:16,416203
Insider Trading,2/29/12 7:05,11/11/13 17:28,1967482
Ponzi Scheme,11/24/07 19:02,3/6/11 19:04,1105204
Ponzi Scheme,12/10/14 6:42,7/21/15 6:37,4411287
Securities Fraud,8/25/07 14:19,12/30/10 7:26,586076
Embezzlement,11/20/11 17:07,12/19/15 14:22,1787824
Ponzi Scheme,12/30/12 21:09,8/19/15 15:53,131994
Securities Fraud,2/28/11 21:23,7/9/12 17:23,8306653
Embezzlement,5/27/09 13:12,10/25/13 12:50,8744346
Embezzlement,5/26/14 11:42,7/30/15 16:30,8137487
Ponzi Scheme,2/8/07 11:25,4/5/07 14:39,3991840
Ponzi Scheme,9/28/12 3:09,6/4/14 2:07,4462961
Ponzi Scheme,2/5/08 2:02,12/22/10 17:16,1047687
Securities Fraud,9/4/10 19:45,1/19/12 2:32,1137547
Insider Trading,7/11/07 15:23,6/23/12 12:44,4214487
Embezzlement,1/24/11 23:32,12/14/13 0:31,6248278
Insider Trading,5/4/13 18:06,10/27/14 17:14,2814962
Embezzlement,2/25/10 10:43,11/11/12 13:37,4894850
Securities Fraud,8/3/07 1:43,7/10/12 0:30,4321751
Securities Fraud,1/3/10 13:34,11/11/10 4:32,306061
Ponzi Scheme,5/6/09 5:03,6/20/13 9:44,230829
Ponzi Scheme,11/6/08 1:38,9/25/13 8:29,5624483
Insider Trading,12/17/12 0:51,12/19/17 2:18,8916391
Embezzlement,9/18/14 11:25,1/16/20 14:21,4372390
Embezzlement,3/27/12 6:50,4/16/12 14:29,5752144
Embezzlement,12/14/07 10:19,9/10/12 19:29,6946885
Securities Fraud,7/9/09 13:17,3/11/10 1:18,251397
Insider Trading,10/15/09 20:47,6/4/12 20:52,5736558
Ponzi Scheme,5/5/07 13:02,6/5/09 3:07,672577
Ponzi Scheme,2/14/12 2:51,1/3/16 14:23,4212685
Embezzlement,1/10/13 15:08,3/6/13 15:47,2547392
Embezzlement,8/29/07 4:47,1/12/08 21:02,4721161
Securities Fraud,11/23/08 12:28,8/24/09 23:00,3356579
Securities Fraud,3/28/09 9:03,8/16/10 9:57,2464744
Insider Trading,3/1/14 10:10,8/28/18 19:28,8350182
Securities Fraud,1/12/14 21:47,6/4/16 20:21,3973666
Securities Fraud,5/26/14 22:58,9/3/14 0:54,3084502
Embezzlement,11/7/06 6:07,7/29/11 4:25,4015613
Ponzi Scheme,4/22/09 10:33,8/29/12 22:32,561003
Embezzlement,10/14/10 17:10,8/2/12 9:29,4534431
Securities Fraud,11/2/10 4:41,1/29/13 19:51,4122032
Embezzlement,7/25/10 3:04,5/1/12 11:39,1224632
Insider Trading,4/13/12 21:28,5/18/16 20:28,6749810
Securities Fraud,6/6/07 5:34,6/10/07 20:50,638321
Ponzi Scheme,1/9/11 3:13,11/6/12 10:48,910383
Securities Fraud,6/3/10 16:42,10/17/11 15:13,9410751
Ponzi Scheme,3/7/09 16:18,11/23/10 11:45,7485111
Ponzi Scheme,8/14/09 16:57,6/16/10 21:07,7640031
Embezzlement,11/14/13 16:19,4/23/17 10:43,8791606
Insider Trading,10/24/11 18:10,2/8/16 7:58,9114371
Embezzlement,10/19/07 14:19,11/16/11 19:25,10986
Insider Trading,10/8/14 13:16,10/18/17 18:15,2531405
Securities Fraud,1/23/08 23:06,12/10/11 9:50,9134644
Embezzlement,3/30/08 22:11,6/15/12 23:03,3792119
Insider Trading,12/14/06 19:00,6/3/10 12:02,7173553
Insider Trading,2/17/10 13:43,12/10/14 8:35,6513982
Insider Trading,5/19/08 16:41,3/18/12 6:52,2885659
Securities Fraud,6/8/14 11:49,5/3/15 19:34,2658407
Insider Trading,6/4/07 8:48,9/16/09 8:55,1782258
Securities Fraud,9/16/10 8:15,12/31/14 1:45,1918562
Securities Fraud,7/10/07 5:59,5/14/09 4:35,6501864
Insider Trading,5/4/09 7:30,5/12/14 18:58,9847729
Ponzi Scheme,9/23/07 11:06,3/5/08 21:30,4406270
Insider Trading,6/2/09 14:54,7/2/11 14:43,7738827
Insider Trading,3/23/13 5:53,9/10/15 11:39,9239520
Embezzlement,8/3/10 7:13,8/30/10 19:53,6739733
Ponzi Scheme,11/18/10 2:41,5/10/13 4:06,4637188
Insider Trading,1/14/09 14:54,7/24/09 21:17,6013069
Embezzlement,3/30/12 21:59,9/9/13 4:53,5222447
Ponzi Scheme,7/23/12 13:51,4/14/13 4:54,2960222
Insider Trading,12/16/08 11:27,1/26/11 10:30,7346445
Securities Fraud,12/13/06 0:49,6/14/10 10:59,9847237
Securities Fraud,1/24/14 23:50,12/9/16 7:55,8084946
Ponzi Scheme,3/13/10 10:14,12/13/10 15:50,9730163
Embezzlement,10/22/14 21:36,3/30/16 1:56,4660621
Insider Trading,4/26/08 12:31,1/11/09 19:42,7239408
Insider Trading,11/27/06 5:46,10/31/10 8:32,3173015
Insider Trading,2/3/12 10:38,1/24/13 9:46,4479056
Ponzi Scheme,8/1/10 0:25,12/27/12 23:21,128311
Embezzlement,12/31/13 7:23,3/20/14 17:35,7066539
Ponzi Scheme,4/22/10 4:36,12/16/10 10:38,5751325
Securities Fraud,11/23/11 5:05,3/21/14 16:57,7238269
Securities Fraud,2/11/11 15:24,10/1/13 18:04,1373448
Insider Trading,5/9/14 12:57,10/10/16 12:52,7294016
Insider Trading,9/11/09 20:34,3/27/14 8:01,3574071
Embezzlement,4/30/10 10:13,5/28/13 4:34,6984481
Embezzlement,6/27/14 13:37,8/30/16 6:48,8020489
Ponzi Scheme,2/22/08 23:43,4/21/11 13:51,4534716
Securities Fraud,11/16/13 15:32,10/14/15 21:28,8818637
Securities Fraud,1/16/10 9:17,3/26/12 14:10,7395056
Embezzlement,4/9/11 23:18,5/3/15 14:32,8096286
Ponzi Scheme,8/17/11 16:00,4/22/13 5:47,3229257
Embezzlement,2/28/13 14:15,3/1/18 13:20,8018206
Insider Trading,12/8/08 4:22,5/25/12 4:19,9251455
Embezzlement,10/21/10 10:09,9/19/14 22:31,3549739
Insider Trading,11/30/13 12:01,3/15/15 13:17,2849540
Embezzlement,1/19/09 4:34,2/25/11 22:29,8702018
Ponzi Scheme,11/18/14 12:22,4/30/19 4:11,4320915
Ponzi Scheme,5/26/13 7:50,11/11/15 21:08,8076374
Embezzlement,9/3/10 1:50,7/28/14 6:39,4169831
Insider Trading,10/20/09 6:35,11/19/14 2:20,4576415
Securities Fraud,9/19/07 19:10,7/12/08 3:38,97233
Ponzi Scheme,11/6/07 3:57,3/29/12 23:16,1634028
Embezzlement,12/27/06 16:55,1/15/08 2:38,2685841
Securities Fraud,2/22/10 4:39,8/12/11 4:37,9346979
Insider Trading,9/12/07 18:09,5/9/08 3:54,6925268
Embezzlement,6/5/09 18:49,7/21/10 12:34,5634569
Insider Trading,6/8/10 2:26,12/15/10 20:49,6280823
Embezzlement,4/19/07 12:53,8/4/12 19:31,1224506
Ponzi Scheme,10/21/10 4:57,6/17/13 20:47,7950537
Embezzlement,4/4/10 21:42,2/26/13 8:47,1534136
Insider Trading,2/5/07 7:47,9/29/11 18:44,7370786
Ponzi Scheme,8/10/13 8:15,10/9/13 19:35,504698
Embezzlement,2/24/11 7:28,11/16/13 5:03,5692491
Securities Fraud,4/26/11 5:36,3/13/12 23:51,187826
Ponzi Scheme,6/6/13 7:14,12/30/17 14:16,7197993
Ponzi Scheme,9/24/08 2:14,6/19/12 16:59,8131070
Ponzi Scheme,11/1/07 14:51,5/31/12 4:41,6460591
Embezzlement,3/23/09 12:19,5/9/13 7:48,1561548
Securities Fraud,5/7/07 13:21,1/9/10 9:17,824711
Insider Trading,2/4/11 19:32,2/18/13 9:40,3241237
Ponzi Scheme,4/27/07 1:49,6/21/11 15:30,6712246
Securities Fraud,11/11/11 17:34,9/28/14 6:39,7485832
Ponzi Scheme,6/6/12 12:02,8/31/14 6:39,4756186
Ponzi Scheme,11/10/11 23:21,6/4/13 9:05,5244015
Securities Fraud,9/23/09 16:34,3/5/11 2:46,690273
Insider Trading,12/12/07 5:38,1/19/12 12:13,5215000
Insider Trading,3/3/08 11:50,10/31/12 14:28,4400937
Insider Trading,4/15/08 0:22,3/2/12 8:41,1972012
Ponzi Scheme,3/26/08 21:01,10/24/12 3:31,8329189
Ponzi Scheme,8/10/14 1:41,11/25/18 6:17,2104438
Securities Fraud,1/31/08 23:30,5/15/09 1:11,8668871
Insider Trading,9/17/07 13:51,8/1/11 2:27,5567034
Ponzi Scheme,9/10/07 1:46,4/30/10 17:08,6149595
Embezzlement,7/2/13 5:59,11/25/17 5:16,7900303
Insider Trading,9/13/11 7:09,12/25/15 3:52,7018472
Securities Fraud,2/9/13 20:43,5/19/17 12:14,1582770
Insider Trading,6/24/13 5:29,8/24/16 13:43,5102079
Embezzlement,6/4/11 8:52,2/24/14 23:27,7104982
Embezzlement,9/21/11 11:47,1/7/14 7:48,4220179
Ponzi Scheme,2/8/08 19:03,1/10/11 19:28,7852132
Embezzlement,1/13/07 22:01,3/9/09 22:40,4839966
Embezzlement,1/6/10 0:52,7/18/11 9:34,7628893
Embezzlement,8/13/11 13:28,12/25/14 16:34,1537032
Ponzi Scheme,4/24/14 5:08,11/4/15 1:01,1180334
Embezzlement,5/22/11 18:34,4/3/15 1:27,1417638
Ponzi Scheme,8/8/13 19:06,2/9/18 20:29,8056259
Insider Trading,11/18/11 8:19,9/13/14 11:30,5881837
Securities Fraud,7/2/08 8:48,9/16/08 14:53,7213333
Embezzlement,10/13/12 21:04,8/31/16 17:06,3369416
Insider Trading,1/17/11 17:00,6/11/13 13:36,6762660
Securities Fraud,11/1/13 14:54,6/29/17 1:56,7606980
Embezzlement,10/22/10 23:48,4/5/15 19:43,4653335
Ponzi Scheme,11/17/10 9:14,8/3/12 1:09,7667427
Insider Trading,11/8/12 13:31,6/19/15 0:56,1211735
Ponzi Scheme,7/16/09 4:26,3/17/12 10:09,8896840
Ponzi Scheme,6/26/10 12:00,8/17/12 8:54,1383851
Insider Trading,10/17/08 1:39,2/9/14 22:00,7779712
Embezzlement,1/11/14 20:29,7/1/18 16:31,6932358
Ponzi Scheme,9/23/10 19:19,6/13/12 5:55,2140745
Securities Fraud,3/2/08 10:03,12/31/11 11:42,6105264
Insider Trading,3/23/09 17:24,12/6/11 4:09,9983226
Embezzlement,2/22/07 13:14,2/11/10 4:38,7944275
Embezzlement,10/2/13 23:12,3/27/15 2:43,2046364
Ponzi Scheme,3/31/12 18:19,2/1/15 19:57,8198736
Embezzlement,3/30/07 19:46,8/12/10 7:34,6118016
Insider Trading,7/4/12 1:23,11/28/16 21:17,3055327
Securities Fraud,11/14/08 2:56,2/20/13 20:07,6661083
Embezzlement,7/3/10 19:51,1/10/13 8:55,5453722
Insider Trading,6/24/14 22:38,3/20/15 4:35,4314112
Ponzi Scheme,12/1/09 13:22,3/27/11 9:22,562690
Ponzi Scheme,11/14/11 7:41,3/21/12 8:28,2354442
Ponzi Scheme,2/8/11 5:09,10/10/12 20:38,1336972
Embezzlement,12/1/12 1:40,3/15/13 10:56,4966210
Embezzlement,11/18/11 8:35,3/31/14 18:59,7139693
Securities Fraud,10/30/10 21:48,4/3/15 7:14,8930367
Insider Trading,1/3/10 23:07,2/19/15 5:52,8201092
Securities Fraud,2/28/14 1:07,10/17/17 0:17,5145735
Insider Trading,7/30/14 10:12,11/5/18 13:10,5189640
Embezzlement,2/5/09 19:32,1/30/10 12:42,4327003
Embezzlement,12/1/13 23:53,12/19/13 11:26,1537516
Embezzlement,7/14/14 11:19,2/3/15 9:20,563484
Embezzlement,4/24/09 7:31,7/5/12 0:09,7248244
Securities Fraud,1/9/13 14:35,5/30/17 8:18,7160148
Embezzlement,2/15/11 17:58,7/18/15 13:29,1551933
Ponzi Scheme,8/19/13 23:22,12/8/18 1:38,1658215
Embezzlement,3/17/13 7:59,3/7/16 19:56,8642183
Insider Trading,10/5/08 15:56,10/23/11 18:14,4328774
Securities Fraud,5/12/09 3:04,9/17/14 8:27,3195381
Ponzi Scheme,9/6/09 11:05,1/23/14 9:43,3197943
Ponzi Scheme,7/3/14 12:57,7/20/17 13:49,5122433
Embezzlement,5/3/10 11:54,8/16/15 17:49,4782655
Insider Trading,1/16/09 21:27,11/6/09 12:09,1546397
Securities Fraud,5/5/10 13:10,1/11/15 19:36,2440433
Securities Fraud,12/1/07 16:44,6/13/09 11:50,6929302
Insider Trading,5/19/13 16:36,7/17/14 8:07,8028595
Embezzlement,8/4/12 11:42,7/30/16 22:14,5136582
Securities Fraud,8/4/14 10:21,8/2/16 22:48,768602
Embezzlement,1/21/14 10:46,9/11/17 12:45,9000393
Embezzlement,5/7/08 4:16,2/11/12 18:04,4472008
Insider Trading,9/29/09 6:29,11/8/10 15:48,4379182
Securities Fraud,11/21/09 4:31,9/11/11 13:45,1669864
Embezzlement,7/29/14 22:54,9/12/16 17:47,3649173
Embezzlement,4/15/09 6:38,2/7/10 19:35,8452521
Embezzlement,2/5/10 5:48,7/12/10 20:48,940381
Ponzi Scheme,10/6/08 11:52,5/14/09 20:46,73576
Embezzlement,5/17/08 11:55,10/10/08 21:38,2691099
Securities Fraud,11/16/09 2:59,1/16/14 22:31,4011009
Embezzlement,4/19/11 21:00,10/12/15 7:49,5315093
Embezzlement,2/16/07 12:23,4/24/11 8:02,5765050
Ponzi Scheme,6/19/12 21:01,5/22/14 5:50,689471
Embezzlement,8/15/12 20:22,1/8/18 6:16,9545775
Embezzlement,10/13/13 7:41,2/13/15 18:25,6657503
Insider Trading,5/17/11 20:58,4/13/14 10:18,6488788
Ponzi Scheme,2/23/08 2:12,1/24/13 14:28,570641
Securities Fraud,5/29/07 3:19,3/24/09 20:27,9566482
Ponzi Scheme,10/12/06 3:05,10/31/10 23:55,684980
Securities Fraud,8/11/11 10:06,7/14/13 5:03,650919
Ponzi Scheme,12/2/11 3:24,2/6/16 14:12,2917070
Securities Fraud,11/21/09 18:51,8/9/12 23:43,207463
Securities Fraud,4/8/08 18:35,9/29/08 3:59,8247063
Embezzlement,3/15/12 20:10,9/3/15 16:15,7934290
Securities Fraud,5/18/14 23:03,12/21/14 3:14,3513392
Insider Trading,10/31/06 23:26,12/20/06 3:12,3379355
Insider Trading,12/26/14 17:41,11/5/19 2:21,6438446
Insider Trading,10/5/08 11:13,7/26/09 3:38,5817131
Insider Trading,10/21/08 3:18,2/16/12 16:07,995934
Insider Trading,7/8/07 12:00,2/8/09 5:17,702427
Ponzi Scheme,4/22/13 21:46,9/14/17 7:14,4959801
Ponzi Scheme,2/10/14 6:34,2/14/16 21:02,7093643
Ponzi Scheme,2/23/14 10:09,6/22/16 20:36,137302
Securities Fraud,2/8/07 23:55,3/3/09 11:30,184483
Embezzlement,11/22/06 1:54,8/28/10 12:49,5055612
Embezzlement,11/18/12 12:57,1/31/14 0:46,2078857
Embezzlement,7/15/14 21:07,6/9/19 13:22,8287493
Securities Fraud,7/19/08 23:50,7/3/11 9:02,3790141
Ponzi Scheme,10/4/10 13:31,7/2/15 5:50,2945473
Embezzlement,8/6/07 16:56,1/19/13 9:30,771156
Insider Trading,11/3/08 21:17,10/27/13 7:53,1296785
Embezzlement,4/26/11 22:23,8/16/15 3:00,8102935
Embezzlement,11/22/06 7:28,4/19/09 13:59,2897863
Ponzi Scheme,4/1/08 1:46,5/3/12 0:44,103991
Embezzlement,1/9/12 12:59,1/14/13 22:27,497612
Insider Trading,5/4/12 1:11,6/28/12 12:59,1260599
Insider Trading,4/6/11 5:15,2/14/16 9:56,546947
Insider Trading,9/4/08 19:29,3/15/11 4:57,2026270
Embezzlement,1/16/08 18:18,2/8/13 11:59,8094428
Embezzlement,12/3/09 16:58,12/13/13 9:23,275310
Insider Trading,4/10/11 21:21,8/3/15 12:01,3693771
Insider Trading,6/16/08 15:48,3/2/09 2:34,7690962
Securities Fraud,3/31/14 21:51,4/15/19 21:48,6099969
Embezzlement,10/7/12 14:44,1/8/18 19:53,1954296
Insider Trading,1/8/10 5:29,4/6/14 9:15,1896845
Embezzlement,9/27/10 17:08,4/28/11 11:53,2185442
Securities Fraud,12/12/13 6:26,3/4/17 21:33,9406911
Insider Trading,1/8/07 1:47,7/25/09 8:32,3271965
Ponzi Scheme,8/3/13 16:49,8/19/15 10:11,2244959
Embezzlement,5/20/09 17:35,5/7/11 19:35,8620944
Ponzi Scheme,2/8/14 22:00,4/21/15 2:12,2059384
Insider Trading,7/30/13 21:29,3/5/17 11:32,68472
Insider Trading,12/29/13 2:04,3/22/18 7:25,3999604
Insider Trading,2/23/13 3:39,7/20/18 3:55,9034850
Ponzi Scheme,3/22/12 21:32,4/5/15 12:41,8156532
Embezzlement,4/30/09 11:56,5/19/11 1:47,6888855
Insider Trading,1/5/11 1:01,2/1/14 3:14,7368843
Securities Fraud,5/16/10 1:18,1/2/15 3:46,7528176
Ponzi Scheme,4/3/07 15:55,11/5/08 0:53,4371161
Securities Fraud,2/19/11 22:13,5/19/13 3:45,6752578
Securities Fraud,8/24/13 19:03,2/22/18 11:20,9351503
Securities Fraud,1/20/10 22:19,5/5/12 2:02,2517836
Embezzlement,5/15/08 17:27,8/28/13 22:45,9831996
Securities Fraud,12/30/08 23:31,10/3/10 8:15,6927800
Ponzi Scheme,7/31/09 10:07,12/29/12 3:35,4908905
Insider Trading,3/21/14 8:36,3/19/19 12:55,4794952
Insider Trading,5/24/14 17:45,11/24/18 23:48,5718543
Insider Trading,11/18/09 5:31,6/1/11 17:02,8980238
Ponzi Scheme,6/29/10 4:10,7/30/10 17:59,635644
Securities Fraud,6/29/13 13:56,10/22/13 19:59,5164669
Embezzlement,2/27/12 7:22,7/6/12 23:13,6373609
Insider Trading,12/24/07 21:59,7/29/09 19:17,4079154
Securities Fraud,12/24/12 9:40,8/19/14 23:37,141063
Ponzi Scheme,7/21/13 8:03,6/20/14 2:14,2416656
Securities Fraud,12/30/08 21:20,9/28/12 5:19,1128623
Embezzlement,6/9/09 5:00,4/28/11 18:49,7874182
Insider Trading,12/2/08 10:57,7/25/13 8:06,5415105
Ponzi Scheme,1/13/10 13:17,12/21/13 0:56,8831897
Securities Fraud,12/12/06 12:49,5/23/09 11:12,7213913
Insider Trading,10/14/07 0:42,12/16/11 22:33,6967156
Embezzlement,8/26/08 23:54,10/1/09 12:09,2363095
Embezzlement,4/26/10 0:19,11/19/11 8:41,9353231
Ponzi Scheme,5/11/14 12:55,5/18/14 14:59,2956518
Embezzlement,4/29/14 4:37,8/14/18 12:09,991989
Securities Fraud,3/26/13 22:36,6/29/15 0:40,7341944
Securities Fraud,8/29/08 14:10,11/8/12 19:01,9243026
Ponzi Scheme,12/3/08 13:12,11/26/09 10:29,9172793
Embezzlement,2/17/13 17:05,2/27/17 20:33,9114772
Securities Fraud,5/5/12 1:56,6/29/17 1:58,3534755
Ponzi Scheme,5/2/14 15:34,7/30/17 9:33,7274645
Insider Trading,12/9/09 6:34,3/28/15 18:14,5713314
Ponzi Scheme,9/20/10 9:52,11/24/10 18:42,2075874
Insider Trading,9/7/10 12:39,3/7/15 11:25,7101660
Insider Trading,3/21/11 3:51,1/6/12 12:02,7100738
Ponzi Scheme,8/29/11 15:18,8/5/13 17:36,8363270
Embezzlement,8/15/10 20:05,3/8/13 23:45,5807380
Ponzi Scheme,7/30/14 21:13,1/10/15 0:36,6387410
Embezzlement,9/7/07 0:45,3/7/10 19:59,4833431
Securities Fraud,12/19/07 6:29,5/7/10 12:22,5972453
Securities Fraud,7/12/08 12:29,5/25/09 22:49,9312436
Insider Trading,3/17/08 15:47,5/11/12 10:34,987185
Insider Trading,1/4/10 16:02,8/2/14 20:36,3535008
Securities Fraud,9/17/10 17:38,3/27/15 10:31,1030253
